,DET,NOUN,ADJ,VERB,ADP,PUNCT,CCONJ,ADV,PRON,AUX,SCONJ,PROPN,NUM,X,SYM,SPACE,INTJ
514,3,6,2,,5,2,,2,1,1,,,1,,,,
515,2,5,1,3,3,1,,,1,,,,,,,,
516,1,1,2,,,1,1,,1,1,,,,,,,
517,,1,,1,,1,,,2,,,1,,,,,
518,3,4,2,2,2,3,,,1,1,,,,,,,
519,2,3,1,1,2,3,,,1,,,1,,,,,
520,2,7,2,2,3,3,1,3,2,,,,1,,,,
521,6,7,3,8,4,5,3,3,3,2,,,,,,,
522,2,3,,3,1,2,1,4,4,,,,,,,,
523,1,3,,2,2,1,,,1,1,,,,,,,
524,,1,,1,1,1,,,2,,,,,,,,
525,1,2,,3,1,2,1,2,3,,,,,,,,
526,9,14,7,5,12,8,2,5,,,1,,2,,,,
527,1,1,,1,,1,,,1,,,,,,,,
528,2,2,1,,,2,1,1,,1,,,1,,,,
529,2,3,1,2,3,2,,1,,1,,2,,,,,
530,5,5,,3,2,,1,,3,,,,,,,,
531,13,19,5,2,12,6,3,1,3,,,,,,,,
532,3,7,1,1,5,3,1,1,,,,,,,,,
533,2,3,1,1,2,3,,3,,1,1,5,,,,,
534,5,11,1,3,5,4,1,3,4,2,,,1,,,,
535,8,9,1,2,5,3,2,1,,,,,,,,,
536,1,1,,1,,1,,1,,1,,,,,,,
537,1,4,2,,3,,1,,1,1,,,,,,,
538,6,6,1,4,8,3,1,,2,,1,5,,,,,
539,1,1,1,1,2,1,,1,1,1,,,,,,,
540,1,1,,2,,2,,1,3,2,,,1,,,,
541,,1,,,,1,,,1,1,,,,,,,
542,,,,1,1,,,,1,1,,3,,,,,
543,1,1,,2,,1,,1,3,1,,,,,,,
544,,1,,2,,1,1,,3,,,1,1,,,,
545,5,11,2,3,7,6,2,1,1,,,,,,,,
546,,1,1,,,1,,,,,,,,,,,
547,1,1,2,3,,3,1,2,4,1,1,,,,,,
548,3,5,,2,4,2,,,,,,2,,,,,
549,,1,1,1,3,1,,5,3,1,2,,,,,,
550,,2,,,1,2,,2,1,1,,,,,,,
551,,,1,,,1,,,1,1,,,,,,,
552,2,2,,3,1,1,1,,2,,,,,,,,
553,34,32,15,14,30,13,8,4,23,2,1,9,2,,,,
554,1,5,2,1,4,1,,,1,,,1,,,,,
555,1,6,3,2,1,4,3,1,2,1,1,,,,,,
556,,2,,2,1,2,,4,,,,1,1,,,,
557,6,12,4,6,11,4,1,2,1,,1,,1,,,,
558,1,1,,3,,1,,1,1,,,,,,,,
559,5,8,1,1,7,1,1,3,,1,,,,,,,
560,2,6,2,3,4,1,2,,1,1,,1,,,,,
561,,,,1,,1,,1,1,,,,,,,,
562,3,5,2,1,4,4,,1,1,,,1,,,,,
563,3,3,1,1,1,1,1,,1,,,,,,,,
564,4,7,,3,2,4,,1,,3,,,,,,,
565,4,5,4,1,2,2,,3,1,1,,,,,,,
566,1,1,2,1,,2,1,1,1,1,,,,,,,
567,,2,1,3,1,1,,,,,1,,1,,,,
568,1,1,1,3,2,2,,1,3,,,,,,,,
569,3,5,,2,3,2,,,,,,,,,,,
570,3,6,5,3,5,1,2,1,1,,,1,,,,,
571,7,8,1,2,3,1,3,6,1,2,,,,,,,
572,2,4,2,2,5,,2,,,1,,4,,,,,
573,2,3,1,1,5,1,,,2,1,,1,,,,,
574,2,3,1,2,4,,,,,2,,1,,,,,
575,1,1,,1,1,1,,,1,,,1,,,,,
576,4,6,1,2,5,1,1,2,1,,,,,,,,
577,5,7,4,2,5,3,,5,1,2,2,1,,,,,
578,1,2,,2,,2,,,3,,,1,1,,,1,
579,6,11,2,4,8,2,3,3,5,,,1,,,,,
580,3,4,3,2,1,,,,2,1,,,,,,,
581,2,2,2,1,1,2,1,,1,1,,,,,,,
582,3,4,1,5,2,3,1,2,1,1,1,,,,,,
583,2,2,,3,,,1,5,2,,,,,,,,
584,4,5,2,3,3,3,3,3,2,4,1,,,,,,
585,1,1,,2,,1,,2,1,,,,,,,,
586,4,5,2,4,2,2,2,1,3,1,1,,,,,,
587,3,3,2,,2,1,,,,1,,,,,,,
588,3,5,1,6,3,3,,1,6,3,1,,,,,,
589,1,1,,1,,1,,,1,,,,,,,,
590,1,2,,,,2,,1,,,,,,,,,
591,1,2,,2,,1,,1,1,1,,,,,,,
592,5,4,1,2,3,,,1,2,1,,2,,,,,
593,1,2,,2,,2,,1,2,,,,,,,,
594,2,5,3,,2,,2,,,,,,3,,,,
595,10,13,5,5,8,1,,2,1,1,1,,,,,,
596,2,4,,1,,,1,,2,,,,,,,,
597,3,2,2,1,1,,,,1,1,,2,,,,,
598,2,4,,1,2,1,,,,1,,,,,,,
599,3,8,1,1,4,8,1,2,,1,,1,2,,,,
600,2,4,1,1,3,1,,,,1,,,,,,,
601,1,1,1,1,,2,1,1,3,2,,,,,,,
602,2,3,,1,1,3,,,1,,,1,,,,,
603,,1,,1,,,,,2,,,,,,,,
604,5,5,2,5,4,6,1,3,4,,,,,,,,
605,4,8,1,6,6,4,1,2,3,,1,1,,,,,
606,,1,,1,,3,,,1,,,1,,,,,
607,7,7,3,1,4,6,1,2,3,2,2,,,,,,
608,1,2,,1,2,3,,1,2,,1,,,,,,
609,,,,2,1,1,,2,2,,,,,,,,
610,4,6,2,5,5,2,,1,2,,1,,,,,,
611,1,,,,,1,1,1,,1,,1,,,,,
612,6,12,4,6,8,8,1,2,1,,1,3,,,,,
613,2,7,1,1,4,1,,,1,1,,,,,,,
614,2,2,1,2,1,1,,,3,1,1,,,,,,
615,1,2,1,1,1,3,,1,2,1,,1,1,,,,
616,2,3,,1,2,2,,1,1,,,,,,,,
617,2,2,2,3,1,1,1,2,,,,,,,,,
618,4,4,,,3,3,2,1,,,,1,,,,,
619,3,5,3,4,2,3,1,,3,,1,,,,,,
620,7,9,5,7,7,5,1,1,2,,1,,,,,,
621,2,1,,2,,1,,,2,1,,,,,,,
622,,,1,3,1,2,,,1,1,,1,,,,,
623,3,3,,,2,,,,,1,,,,,,,
624,4,5,4,1,4,2,1,3,,1,,1,,,,,
625,1,1,1,1,,1,,3,1,1,1,,,,,,
626,1,1,1,3,3,2,,1,2,2,,,,,,,
627,2,2,1,1,1,1,,,2,2,1,,,,,,
628,4,5,1,3,3,2,1,,,1,,1,1,,,,
629,1,1,1,1,,1,,,1,1,,,,,,,
630,1,2,1,,2,2,,,1,1,,1,,1,,,
631,3,5,1,3,1,1,1,2,1,1,1,1,,,,,
632,1,1,2,2,1,1,,,4,,,,,,,,
633,1,1,,,,1,,,1,1,,,,,,,
634,4,5,4,3,4,1,,,,2,,,2,,,,
635,,,,2,,,,1,1,,,,,,,,
636,4,3,1,1,3,3,1,,1,1,,1,,,,,
637,4,7,1,4,9,5,,1,1,1,,3,2,,,,
638,2,4,,,3,1,,,1,1,,,,,,,
639,4,4,1,1,3,1,1,2,,,,,,,,,
640,5,6,4,3,3,3,1,,,,,,,,,,
641,,2,,2,,1,,1,,,,1,,,,,
642,3,5,1,2,2,3,1,1,,,,,,,,,
643,3,4,,3,5,1,1,,1,,,,,,,,
644,4,5,1,4,5,5,,2,1,1,2,5,,,,,
645,4,4,2,2,2,3,,2,,,1,,,,,,
646,1,1,1,1,1,2,,,2,1,,,,,,,
647,1,1,,,,1,,,1,1,,,,,,,
648,3,8,4,1,3,6,2,2,1,1,,,,,,,
649,5,10,2,1,7,1,1,1,,,1,,,,,,
650,3,4,,4,6,3,,5,6,2,3,,,,,,
651,1,3,,2,1,2,,1,2,,,1,,,,,
652,5,4,1,5,2,4,,3,2,2,1,5,,1,,,
653,3,6,2,4,5,5,,3,1,2,1,,,,,,
654,2,3,2,2,4,1,,2,1,,,,,,,,
655,,1,,2,2,1,,,3,1,1,1,,,,,
656,1,1,1,,,1,,1,1,1,1,1,,,,,
657,5,7,1,2,4,1,,,2,1,,,,,,,
658,1,3,1,1,1,1,,,1,,,,,,,,
659,2,3,3,3,1,3,,,,,,,,,,,
660,5,6,2,1,2,5,1,2,1,,,,,,,,
661,,,,3,1,1,,2,1,2,,,,,,,
662,1,2,,,2,1,,,,,,,,,,,
663,3,3,1,3,3,3,,,2,2,,1,,,,,
664,2,2,,6,4,1,1,1,5,2,1,,,,,,
665,1,2,1,1,,1,,2,2,2,1,,,,,,
666,6,7,4,6,8,4,1,2,5,,1,1,,,,,
667,4,4,2,4,2,6,,2,3,1,,,,,,,
668,2,3,1,3,2,1,1,2,3,3,2,,,,,,
669,10,14,5,6,10,3,2,1,6,,1,1,,,,,
670,13,20,4,13,20,11,3,7,8,3,1,1,,,,,
671,1,2,,3,3,3,,2,5,1,,1,,,,,
672,1,2,,2,3,1,,2,,,,,,,,,
673,3,3,,1,,1,1,,2,,,,,,,,
674,,3,1,2,,1,,,2,,1,2,,1,,,
675,,,,1,,1,,,1,1,,,,,,,
676,,2,,3,2,,,,2,1,1,,,,,,
677,1,2,,1,3,1,,,3,1,,,,,,,
678,4,4,,4,1,2,1,,3,,,,,,,,
679,1,1,,1,,1,,,1,,,,,,,,
680,7,6,3,3,4,5,,2,1,1,,,,,,,
681,2,4,3,4,3,4,,1,,,,1,,,,,
682,1,2,,2,2,1,,,2,1,1,,,,,,
683,9,9,,2,7,4,,1,2,1,,3,2,,,,
684,3,6,2,1,5,2,1,3,1,1,1,,1,,,,
685,2,2,1,1,1,3,,3,1,2,1,,,,,,
686,,,1,,,1,,1,1,1,,,,,,,
687,1,3,1,2,2,1,,1,1,1,,,,,,,
688,5,7,3,2,7,4,,,1,2,,1,,,,,
689,3,5,,1,2,2,1,,,,,,,,,,
690,1,2,1,2,2,1,,2,,1,,,,,,,
691,1,2,2,1,2,1,,1,,1,,,,,,,
692,6,12,,2,5,4,3,3,1,,1,,1,,,,
693,1,2,1,1,,1,,1,1,1,1,,1,,,,
694,5,5,2,6,4,2,,2,2,,2,,,,,,
695,2,2,,2,,1,,1,2,2,,,1,,,,
696,,,,1,,2,,1,3,1,1,1,,,,,
697,22,29,8,10,26,12,8,4,3,3,5,1,,,,,
698,2,2,,1,1,,,,1,,,,,,,,
699,2,2,,2,2,1,,1,2,,,,,,,,
700,1,1,,1,,1,,,2,,,,,,,,
701,4,9,1,2,6,6,,3,,,2,,,,,,
702,1,2,,1,2,,,1,,,,1,,,,,
703,2,3,1,2,2,1,,,,,,,,,,,
704,4,8,,2,7,3,1,2,1,,,,,,,,
705,1,1,1,1,,1,,,2,,,,,,,,
706,4,5,3,5,4,9,1,6,2,1,2,,,,,,
707,1,4,,2,2,2,,1,2,,,,1,,,,
708,3,5,,4,3,2,1,1,4,,1,,,,,,
709,4,6,,1,4,1,,,,,,,,,,,
710,5,6,3,1,5,1,,,1,,,,,,,,
711,1,4,,2,3,1,,,5,1,1,,1,,,,
712,3,8,,2,8,3,,1,,1,,,,,,,
713,3,6,,3,2,2,,2,2,,1,,,,,,
714,1,1,,2,,,,1,1,,,,,,,,
715,,,,2,,1,,,2,,,,,,,,
716,4,4,,4,2,2,1,2,1,,,,,,,,
717,2,2,,3,1,3,,,1,,,,,,,,
718,3,3,,1,2,,1,,1,,,,,,,,
719,2,1,,1,,1,1,4,3,1,,,,,,,
720,,2,,,1,1,,1,,,,,,,,,
721,2,2,3,1,,1,,,1,,1,,,,,,
722,2,1,2,4,4,2,1,2,3,,,1,,,,,
723,4,8,1,2,5,3,2,1,3,,2,,,,,,
724,2,3,1,3,1,2,,1,2,,1,,,,,,
725,3,8,2,1,9,2,2,1,,,,4,,,,,
726,5,7,1,5,6,4,1,1,5,,,1,,,,,
727,3,5,3,3,4,3,,1,1,1,1,,,,,,
728,2,3,2,3,3,1,,,3,2,,,,,,,
729,4,7,4,2,1,4,2,4,1,,,,,,,,
730,1,1,,1,,1,,1,2,,,,,,,,
731,2,7,,1,6,2,2,1,1,,,,,,,,
732,3,6,,1,5,1,1,1,,2,,,,,,,
733,,,1,,,2,1,1,1,1,,,,,,,
734,6,11,2,5,9,7,1,4,2,2,,,1,,,,
735,3,2,3,,1,1,,1,1,1,,,,,,,
736,3,8,4,1,6,1,1,1,,,,,,,,,
737,1,4,,1,3,2,,,,1,,,1,,,,
738,1,4,,2,4,1,,1,1,,,,,,,,
739,3,3,,1,1,1,,,,1,,,,,,,
740,5,15,4,4,14,6,1,1,,2,1,2,3,,,,
741,6,7,2,4,9,5,1,2,1,1,,2,3,,,,
742,2,4,,4,3,4,,3,5,1,1,1,,,,,
743,,1,,1,1,3,1,,3,,,1,,,,,
744,2,5,,2,1,1,,,2,,,1,,,,,
745,2,6,3,1,7,2,,3,,2,,,2,,,,
746,,,1,1,,,1,,1,1,,,,,,,
747,2,1,,3,,1,,1,3,,1,,,,,,
748,2,2,,2,1,1,,,2,1,,1,,,,,
749,3,2,,3,,2,,1,2,1,1,,,,,,
750,1,4,3,2,3,1,1,,2,,1,,,,,,
751,8,11,4,8,14,6,4,1,9,2,,1,,,,,
752,2,3,2,3,3,2,1,2,3,,1,,,,,,
753,2,2,1,2,2,1,,1,1,,,,,,,,
754,,2,,1,2,2,,1,1,1,,,,,,,
755,,1,1,2,2,2,,,3,,,2,,,,,
756,6,6,1,5,5,5,,4,,4,,6,,,,,
757,4,5,2,2,3,1,1,,2,1,1,,,,,,
758,7,13,3,2,9,5,1,2,2,,,1,1,,,,
759,2,5,1,2,3,4,,,1,1,,2,1,,,,
760,2,3,1,2,4,3,,,2,,,,,,,,
761,1,1,,1,1,1,,,2,,,,,,,,
762,4,4,,2,2,1,1,,1,2,,,,,,,
763,4,2,,4,2,3,,,2,2,,,,,,,
764,4,4,,3,,,,2,2,,,,1,,,,
765,4,5,1,3,4,2,2,,1,,,,,,,,
766,7,9,4,3,4,2,1,3,,2,,,,,,,
767,,,,1,,2,1,,2,,,1,,,,,
768,2,2,1,1,1,1,,1,1,,1,,,,,,
769,3,9,3,2,7,4,1,,,1,,1,,,,,
770,3,4,1,,1,3,3,1,1,1,,,,,,,
771,4,6,2,2,3,3,,1,2,,,,,,,,
772,10,17,7,7,15,5,,4,,1,2,4,,,,,
773,2,3,2,2,3,2,,1,1,1,,,,,,,
774,6,6,4,3,5,2,2,3,5,,1,,,,,,
775,2,3,1,2,2,2,,3,,,,,,,,,
776,1,4,2,3,4,1,1,2,5,,,,,,,,
777,4,5,4,5,5,6,2,4,4,1,2,1,,,,,
778,1,2,1,1,1,2,,2,1,,,,2,,,,
779,3,4,,,2,1,1,,,1,,,,,,,
780,4,8,,4,4,3,,1,,1,1,,,,,,
781,2,3,1,3,1,1,1,4,2,,1,,,,,,
782,5,11,6,3,8,4,2,1,,1,,,,,,,
783,4,6,2,3,5,3,1,,3,,1,1,,,,,
784,4,6,2,3,6,3,3,,1,,,,1,,,,
785,2,2,,4,2,3,,,2,1,,1,,,,,
786,2,5,2,2,5,3,1,3,3,1,,,,,,,
787,3,3,2,2,2,3,,1,,,,2,1,,,,
788,4,5,1,1,4,4,2,,4,2,,,,,,,
789,3,4,,3,4,4,1,3,3,,1,1,1,,,,
790,2,5,,1,3,2,1,,2,,,,2,,,,
791,2,2,,1,1,1,,,,,,,,,,,
792,,,,4,3,2,1,,2,1,,,,,,,
793,4,6,,3,3,2,1,,3,2,,1,,,,,
794,5,9,,6,8,5,1,4,5,2,,1,,,,,
795,1,1,,1,1,1,,,1,,,,,,,,
796,4,7,2,6,8,2,,6,3,1,1,2,,,,,
797,2,3,,2,2,2,,2,3,1,,1,,,,,
798,2,2,,3,1,1,,,1,,,,,,,,
799,1,1,2,,1,3,,1,,1,,,1,,,,
800,4,3,1,1,1,5,1,1,1,,1,1,,,,,
801,,1,,3,,1,,2,4,1,1,,,,,,
802,7,8,1,4,7,4,2,,2,1,,1,,,,,
803,11,14,4,4,10,13,1,1,,1,,3,,,,,
804,5,8,2,1,5,4,1,2,1,1,,,3,,,,
805,6,11,4,4,7,4,1,2,3,,1,,,,,,
806,3,9,2,5,8,5,,4,3,2,,,,,,,
807,,,1,,,1,,1,2,1,1,,,,,,
808,2,3,1,2,3,2,,,1,,,,,,,,
809,1,5,,1,4,1,1,,1,,,,,,,,
810,2,3,,,,1,1,,,,1,,,,,,
811,7,6,1,7,5,4,1,,3,2,,,,,,,
812,1,1,1,2,1,1,,2,1,,,,,,,,
813,,,,2,,1,,,2,1,1,1,,,,,
814,5,13,2,2,8,3,2,,1,1,,2,2,,,,
815,3,4,,3,,2,1,1,4,1,2,,,,,,
816,2,2,,1,1,2,,3,,,,,,,,,
817,1,2,3,1,,1,,,,1,,1,,,,,
818,1,8,4,4,5,8,,1,1,,,,,,,,
819,1,3,1,2,3,2,,1,1,,1,,,,,,
820,1,3,,1,2,1,1,,,,,,,,,,
821,11,15,6,7,13,4,2,3,2,,,2,,,,,
822,5,9,4,,6,1,1,,,,,,,,,,
823,1,1,1,3,1,,,2,1,,,,,1,,,
824,4,5,2,1,1,3,1,2,1,1,,1,2,,,,
825,4,8,1,2,8,5,,2,,1,,3,1,,,,
826,3,4,1,1,2,1,,1,,,,,,,,,
827,2,4,2,2,3,2,1,,1,1,,,,,,,
828,3,5,,6,6,6,,,8,1,,1,,,,,
829,1,3,,1,2,1,,1,,,,,,,,,
830,3,2,1,3,2,1,,2,1,1,1,1,,,,,
831,3,4,,2,3,1,,2,,,,,,,,,
832,4,3,1,3,4,2,,1,3,1,1,3,,,,,
833,2,2,,1,1,,,2,1,,,,,,,,
834,3,4,1,1,,1,1,,,,,,1,,,,
835,5,10,5,2,5,7,2,3,3,1,,,,,,,
836,1,6,,1,4,3,1,2,2,2,,,,,,,
837,2,8,2,5,6,5,2,,6,,1,,1,,,,
838,,,,,,1,,1,1,,1,,,,,,
839,2,4,1,,3,1,1,1,1,1,,,,,,,
840,,,,,,1,,,1,,,,,,,,
841,,,,1,,1,,,1,1,,,,,,,
842,3,4,,3,2,2,,,1,,,1,,,,,
843,7,13,1,1,7,7,4,1,1,,,1,2,,,,
844,2,8,2,1,4,4,2,2,1,,,,,,,,
845,1,1,,3,,,1,,1,,,,,,,,
846,1,1,1,1,,1,,,1,,,,,,,,
847,,,,3,2,,,,2,1,,,,,,,
848,1,2,,1,1,1,,,2,2,,3,,,,,
849,2,7,3,1,7,2,1,3,,1,1,,,,,,
850,2,3,1,2,1,1,,,3,1,,,,,,,
851,2,4,,1,2,1,,1,,1,1,,,,,,
852,1,1,,6,2,,1,2,3,1,2,,,,,,
853,4,6,3,5,7,2,,5,5,1,,,,,,,
854,6,6,7,3,6,8,,2,2,1,,,,,,,
855,,1,1,,1,1,,1,,,,1,,,,,
856,3,3,,2,3,2,,,2,1,,,,,,,
857,3,2,,2,1,1,,,1,,,,,,,,
858,1,1,,1,1,1,,,1,,,,,,,,
859,10,14,1,2,8,5,2,1,,,1,,,,,,
860,,1,,1,,,,,1,,,,1,,,,
861,3,4,,1,2,1,1,,,1,,,,,,,
862,1,1,,3,1,2,,,1,,,,,,,,
863,3,5,,2,4,4,2,1,2,1,1,3,,,,,
864,4,3,2,2,1,2,,6,3,,,,,,,,
865,4,5,1,1,4,2,,2,1,,,2,,,,,
866,6,6,3,5,3,1,1,4,3,1,1,,,,,,
867,7,9,4,4,8,4,,5,3,1,,1,,,,,
868,3,2,2,2,2,1,,,2,,,,,,,,
869,1,1,,3,,,1,2,5,1,,,,,,,
870,1,1,,2,2,3,,,1,,,2,,,,,
871,3,3,1,1,2,1,,1,,,,,,,,,
872,6,12,3,3,9,2,2,1,2,1,,,,,,,
873,5,5,3,4,2,2,1,2,4,,3,,,,,,
874,2,2,,3,1,2,,,5,1,,,,,,,
875,1,1,1,2,1,2,,,4,,1,,,,,,
876,2,2,1,1,,1,,,2,,,,,,,,
877,3,4,3,1,3,1,1,2,,,,,,,,,
878,3,2,,1,3,3,,,1,,,,,,,,
879,4,11,7,1,8,8,2,,,,,10,,,,,
880,4,7,1,9,12,8,,,2,,,,1,,,,
881,4,5,,3,3,1,,1,1,,,,,,,,
882,1,2,2,3,,6,,4,4,,,1,,,,,
883,8,13,5,4,4,3,3,1,3,,,,,,,,
884,1,5,1,1,3,1,,,4,1,,,1,,,2,
885,3,3,1,4,1,1,1,1,2,1,,,,,,,
886,4,9,2,4,6,8,1,8,2,,,,,,,,
887,2,1,2,3,2,1,,,1,,,,,,,,
888,5,6,3,3,4,2,1,,3,1,,2,,,,,
889,,,1,,,1,,,1,1,,,,,,,
890,2,3,,3,2,1,1,3,1,,1,,,,,,
891,8,9,1,4,5,4,1,3,3,1,,2,,,,,
892,,1,,,1,1,,,1,1,,,,,,,
893,3,3,2,1,2,3,1,3,,,,1,,,,,
894,,4,,4,3,1,1,,3,,,,2,,,,
895,,2,1,,1,1,,1,,,,,,,,,
896,2,3,,2,2,2,,1,3,,,,,,,,
897,4,7,4,1,4,2,1,,,,,,,,,,
898,3,4,2,1,2,1,1,,1,1,,1,,,,,
899,1,1,,2,,1,,3,,1,,,,,,,
900,2,1,2,2,4,2,,,2,1,,1,,,,,
901,5,5,,4,3,2,1,,1,,,1,,,,,
902,5,4,2,3,3,,1,5,1,,,2,,,,,
903,3,6,6,1,5,4,1,,,1,,4,,,,,
904,4,8,3,1,4,2,,,,,,,,,,,
905,1,2,,,,1,,,1,1,,,,,,,
906,1,3,,,3,1,1,,2,1,,,,,,,
907,1,2,1,2,2,1,,3,2,1,1,,,,,,
908,1,1,,,,1,,,1,1,,,1,,,,
909,1,1,1,2,,1,,,1,,,,,,,,
910,,,,1,,1,,1,1,,,1,,,,,
911,2,2,2,3,3,,,,4,1,,,,,,,
912,2,2,,1,1,1,,1,3,1,,,,,,,
913,4,5,1,3,5,1,1,1,,,,2,,,,,
914,3,4,2,3,3,2,1,1,1,,,,,,,,
915,2,2,,3,1,1,,,2,,1,,,1,,,
916,3,4,1,5,3,3,2,5,2,2,3,,,,,,
917,2,2,,1,2,,,,2,,,1,,,,,
918,5,4,1,2,,3,1,1,,,,,,,,,
919,6,12,1,5,7,5,2,1,1,,,,,,,,
920,1,1,,,,,1,2,1,1,,,,,,,
921,3,4,,2,,1,,1,,,1,,,,,,
922,3,5,1,2,2,2,1,1,3,1,,,,,,,
923,,,1,1,1,1,,,1,,,1,3,,,,
924,3,1,2,2,2,1,,,,,,,,,,,
925,1,3,2,1,3,1,1,,,,,,,,,,
926,3,2,1,3,2,4,1,,1,1,,4,,,,,
927,3,3,1,,1,1,1,,1,1,,,,,,,
928,,1,,,,2,1,,1,1,,1,,,,,
929,,1,,2,,1,,,1,,,1,,,,,
930,3,3,2,1,2,,,,1,1,1,,,,,,
931,6,11,4,3,8,8,,1,2,1,,2,,,,,
932,2,3,3,2,2,2,,2,,,,1,,,,,
933,1,2,1,,,2,,,1,1,,,,,,,
934,3,4,3,3,,3,1,,,,,,,,,,
935,1,2,2,4,1,8,,,6,2,1,1,,,,1,
936,4,4,3,3,4,2,,,3,,,1,,,,,
937,1,2,,1,1,1,,1,1,,,,,,,,
938,6,6,1,2,3,2,,,1,,,,,,,,
939,8,12,8,7,5,8,4,3,7,,1,1,,,,,
940,2,2,3,,3,2,,1,2,,,,,,,,
941,5,9,2,5,7,7,1,,1,2,,5,1,1,,,
942,2,2,1,,,1,,,,1,,,,,,,
943,5,7,1,5,4,3,1,3,7,,,,,,,,
944,3,5,2,1,4,1,1,,,1,,,,,,,
945,3,9,3,2,7,1,,1,1,,,,,,,,
946,1,2,,1,1,1,,,1,,,,,,,,
947,3,3,1,4,3,3,,2,3,1,1,1,,,,,
948,2,6,2,1,4,2,1,,,,,,,,,,
949,1,2,2,1,3,1,,,1,1,,3,,,,,
950,1,1,1,2,1,2,,1,2,1,,,,,,,
951,4,8,5,4,7,2,2,7,4,1,1,1,,,,,
952,4,7,2,5,4,5,1,5,2,3,2,1,,,,,
953,,,,2,,1,,,3,,,,,,,,
954,1,4,1,2,3,1,1,,,,,,,,,,
955,1,2,,,2,,,,1,1,,,,,,,
956,1,3,,2,1,2,,,3,1,,,1,,,,
957,4,6,1,1,4,2,,,,,,1,,,,,
958,3,3,2,2,3,2,1,1,,,,,,,,,
959,1,5,,2,3,4,,,2,,1,,,,,,
960,2,4,1,2,3,1,,,1,,,,,,,,
961,1,3,,,2,,,,1,1,,,,,,,
962,2,4,1,2,4,1,,,1,1,,,,,,,
963,5,8,1,4,4,6,1,4,,2,,,1,,,,
964,1,7,4,3,5,5,3,2,,,,5,3,,,,
965,4,5,2,2,3,1,,,1,,,,,,,,
966,3,6,,1,2,2,2,,1,,,,3,,,,
967,5,5,,5,4,1,1,2,3,,1,,,,,,
968,2,3,,3,3,,1,1,2,,,,,,,,
969,2,2,1,3,1,1,,1,5,1,,2,,,,,
970,5,6,1,2,2,2,2,1,2,1,,,,,,,
971,4,9,3,2,7,5,3,1,1,,,,,,,,
972,3,3,2,1,1,,,2,2,1,1,,,,,,
973,,1,,1,1,1,,,3,1,1,,,,,,
974,1,2,1,1,,2,,2,2,,,1,,,,,
975,1,3,,,2,1,,,1,1,,,,,,,
976,7,11,1,2,7,3,1,1,,,,,,,,,
977,,,,3,,1,,2,6,,1,,,,,,
978,2,4,2,3,4,3,,,1,,,2,1,,,,
979,2,2,2,1,2,,,,,1,,1,,,,,
980,3,2,1,3,,1,1,2,1,,,,,,,,
981,1,1,,2,,,,,3,,1,,,,,,
982,2,3,,1,1,,1,,1,1,,,,,,,
983,2,3,,1,2,1,,,1,,,,,,,,
984,,,,1,,1,,,3,,1,,,,,,
985,1,1,,4,2,1,1,,2,,,2,,,,,
986,8,14,3,5,5,4,3,1,1,3,2,,,,,,
987,1,1,1,1,1,1,,1,,1,,,,,,,
988,7,14,4,9,12,9,2,4,9,,,,,,,,
989,1,2,1,1,1,1,,,3,2,3,,,,,,
990,1,2,,,,2,,,3,,,,,,,,
991,1,2,,,1,1,,,1,,,1,,,,,
992,5,7,5,5,6,4,1,7,3,3,1,1,,,,,
993,6,8,3,6,10,4,2,3,2,,2,,,,,,
994,2,3,,1,3,1,,,3,,,,,,,,
995,2,2,,2,,1,1,1,,,,,,,,,
996,4,7,2,3,6,1,1,2,,,,1,,,,,
997,3,5,3,3,1,2,1,1,1,1,,,,,,,
998,3,3,,2,1,3,1,,3,,,,,,,,
999,5,3,,1,1,2,2,,,,,3,,,,,
1000,6,7,2,2,2,6,2,2,5,,,,,,,,
1001,1,3,1,2,1,1,,,3,,1,,,,,,
1002,2,7,2,1,5,1,,1,,,,,,,,,
1003,,,,1,,2,,1,1,,,1,,,,,
1004,4,5,1,,2,2,1,,,2,,,,,,,
1005,2,2,,2,2,1,,1,1,1,,,,,,,
1006,3,3,1,1,1,,1,,2,1,,,,,,,
1007,2,3,,1,2,1,,,2,1,1,,,,,,
1008,5,13,1,1,9,4,1,2,,,,,,,,,
1009,9,10,4,6,6,5,2,1,1,,,1,,,,,
1010,8,10,5,5,8,2,,1,3,,,2,,,,,
1011,1,1,1,,,1,,,,1,,,,,,,
1012,1,1,,1,1,1,,,1,,,,,,,,
1013,4,10,2,5,6,3,1,,1,,,,,,,,
1014,6,7,5,6,7,1,1,1,5,2,1,,,,,,
1015,4,5,1,2,3,1,1,,2,,,,,,,,
1016,2,3,,2,1,1,,,,,,1,,,,,
1017,4,6,3,2,4,1,1,2,1,1,,,,,,,
1018,1,2,,1,1,1,,,1,,,,,,,,
1019,2,2,,,1,1,,,,1,,1,,,,,
1020,3,4,4,3,1,1,1,1,3,2,,,,,,,
1021,2,2,,2,2,1,,,,,,,,,,,
1022,1,3,1,2,4,1,2,1,1,,,3,,,,,
1023,,1,,2,2,,,2,1,,,,,,,,
1024,2,3,,1,2,1,,,1,1,,,,,,,
1025,2,1,1,2,1,,,3,2,,,,,,,,
1026,5,7,1,2,5,2,4,2,1,1,,,,,,,
1027,6,10,3,2,12,9,,2,1,1,,5,1,,,,
1028,3,5,,2,1,2,,,3,,1,,,,,,
